name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Kevin Durant","Oklahoma City Thunder",2015-11-05,2015,3202,1610612760,400827957,2,2,27,1,"Fadeaway Jump Shot","2PT Field Goal",14.50,"Chicago Bulls",119,80,1,2.30,"Butler, Jimmy",3.00,16.10
"Kevin Durant","Oklahoma City Thunder",2015-10-30,2015,3202,1610612760,400827909,1,4,36,0,"Fadeaway Jump Shot","2PT Field Goal",12.10,"Orlando Magic",127,26,0,3.10,"Fournier, Evan",2.60,24.00
"Kevin Durant","Oklahoma City Thunder",2015-10-30,2015,3202,1610612760,400827909,4,11,16,0,"Fadeaway Jump Shot","2PT Field Goal",13.00,"Orlando Magic",-107,75,1,2.60,"Gordon, Aaron",4.40,13.20
"Kevin Durant","Oklahoma City Thunder",2015-11-05,2015,3202,1610612760,400827957,1,0,00,0,"Floating Jump shot","2PT Field Goal",11.00,"Chicago Bulls",48,75,6,5.80,"Noah, Joakim",2.80,0.00
"Kevin Durant","Oklahoma City Thunder",2015-11-02,2015,3202,1610612760,400827936,4,0,05,0,"Jump Bank Shot","3PT Field Goal",26.70,"Houston Rockets",-137,223,0,2.90,"Harden, James",1.60,0.00
"Kevin Durant","Oklahoma City Thunder",2015-11-05,2015,3202,1610612760,400827957,2,8,10,1,"Jump Shot","2PT Field Goal",18.90,"Chicago Bulls",138,116,0,0.60,"Butler, Jimmy",2.20,15.30
"Kevin Durant","Oklahoma City Thunder",2015-11-05,2015,3202,1610612760,400827957,2,4,48,1,"Jump Shot","2PT Field Goal",11.10,"Chicago Bulls",-125,149,1,1.30,"Butler, Jimmy",1.50,13.40
"Kevin Durant","Oklahoma City Thunder",2015-11-04,2015,3202,1610612760,400827953,1,9,09,0,"Jump Shot","3PT Field Goal",24.70,"Toronto Raptors",66,232,0,0.90,"Carroll, DeMarre",10.50,14.10
"Kevin Durant","Oklahoma City Thunder",2015-10-30,2015,3202,1610612760,400827909,4,0,13,1,"Jump Shot","3PT Field Goal",25.90,"Orlando Magic",-32,257,0,0.60,"Gordon, Aaron",4.70,0.00
"Kevin Durant","Oklahoma City Thunder",2015-11-04,2015,3202,1610612760,400827953,1,6,43,1,"Jump Shot","3PT Field Goal",24.30,"Toronto Raptors",171,183,0,1.30,"Carroll, DeMarre",13.30,20.40
"Kevin Durant","Oklahoma City Thunder",2015-11-04,2015,3202,1610612760,400827953,3,3,14,1,"Jump Shot","3PT Field Goal",25.00,"Toronto Raptors",32,242,0,0.70,"Carroll, DeMarre",4.20,8.00
"Kevin Durant","Oklahoma City Thunder",2015-11-04,2015,3202,1610612760,400827953,4,5,13,1,"Jump Shot","2PT Field Goal",19.10,"Toronto Raptors",-52,160,0,1.00,"Carroll, DeMarre",3.30,10.70
"Kevin Durant","Oklahoma City Thunder",2015-10-28,2015,3202,1610612760,400827900,3,10,05,0,"Jump Shot","3PT Field Goal",24.70,"San Antonio Spurs",-27,245,0,0.70,"Leonard, Kawhi",3.80,13.00
"Kevin Durant","Oklahoma City Thunder",2015-10-30,2015,3202,1610612760,400827909,6,4,45,0,"Jump Shot","3PT Field Goal",22.90,"Orlando Magic",4,249,0,0.00,"Vucevic, Nikola",21.90,23.00
"Kevin Durant","Oklahoma City Thunder",2015-10-30,2015,3202,1610612760,400827909,5,2,55,0,"Jump Shot","3PT Field Goal",25.40,"Orlando Magic",-86,242,0,0.60,"Harris, Tobias",4.10,12.80
"Kevin Durant","Oklahoma City Thunder",2015-10-30,2015,3202,1610612760,400827909,2,2,12,0,"Jump Shot","3PT Field Goal",24.60,"Orlando Magic",-145,205,0,0.90,"Watson, CJ",14.70,22.00
"Kevin Durant","Oklahoma City Thunder",2015-11-04,2015,3202,1610612760,400827953,3,7,08,1,"Jump Shot","2PT Field Goal",19.30,"Toronto Raptors",-138,100,0,0.80,"Carroll, DeMarre",5.60,12.30
"Kevin Durant","Oklahoma City Thunder",2015-11-01,2015,3202,1610612760,400827931,3,5,12,0,"Jump Shot","3PT Field Goal",25.70,"Denver Nuggets",140,216,0,0.70,"Gallinari, Danilo",5.20,17.10
"Kevin Durant","Oklahoma City Thunder",2015-11-01,2015,3202,1610612760,400827931,1,9,30,1,"Jump Shot","2PT Field Goal",19.10,"Denver Nuggets",-160,105,1,4.00,"Gallinari, Danilo",3.00,9.30
"Kevin Durant","Oklahoma City Thunder",2015-11-01,2015,3202,1610612760,400827931,2,5,57,1,"Jump Shot","3PT Field Goal",16.30,"Denver Nuggets",-143,190,0,0.00,"Lauvergne, Joffrey",6.10,16.70
"Kevin Durant","Oklahoma City Thunder",2015-11-01,2015,3202,1610612760,400827931,2,4,53,0,"Jump Shot","3PT Field Goal",23.10,"Denver Nuggets",229,34,0,1.00,"Mudiay, Emmanuel",5.40,17.60
"Kevin Durant","Oklahoma City Thunder",2015-11-02,2015,3202,1610612760,400827936,2,3,45,1,"Jump Shot","3PT Field Goal",26.30,"Houston Rockets",-55,257,0,0.70,"Beverley, Patrick",3.90,5.70
"Kevin Durant","Oklahoma City Thunder",2015-11-02,2015,3202,1610612760,400827936,2,2,58,0,"Jump Shot","3PT Field Goal",26.00,"Houston Rockets",141,213,0,0.80,"Ariza, Trevor",4.90,8.80
